num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	AUC	best_iter
15	300	0.01	0.5	0.75	1	0	0.932426947667447	1131
15	300	0.01	0.5	0.75	1	1	0.931827530844277	1402
15	300	0.01	0.5	0.9	1	0	0.932498095821841	1252
15	300	0.01	0.5	0.9	1	1	0.931680153375534	1326
15	300	0.01	0.5	1	1	0	0.931467493225088	1003
15	300	0.01	0.5	1	1	1	0.930956526645864	1183
15	300	0.01	0.7	0.75	1	0	0.932245845761745	1253
15	300	0.01	0.7	0.75	1	1	0.931336698508747	1295
15	300	0.01	0.7	0.9	1	0	0.932370943293879	1207
15	300	0.01	0.7	0.9	1	1	0.932587139305387	1366
15	300	0.01	0.7	1	1	0	0.931495179914381	1270
15	300	0.01	0.7	1	1	1	0.930904750483752	1323
15	300	0.02	0.5	0.75	1	0	0.932020249108796	547
15	300	0.02	0.5	0.75	1	1	0.931437002221649	624
15	300	0.02	0.5	0.9	1	0	0.932397275000318	577
15	300	0.02	0.5	0.9	1	1	0.932201747086612	670
15	300	0.02	0.5	1	1	0	0.931521669312004	584
15	300	0.02	0.5	1	1	1	0.931563417542487	557
15	300	0.02	0.7	0.75	1	0	0.931779949444359	633
15	300	0.02	0.7	0.75	1	1	0.932929638082392	642
15	300	0.02	0.7	0.9	1	0	0.931296991899967	598
15	300	0.02	0.7	0.9	1	1	0.931684819983596	549
15	300	0.02	0.7	1	1	0	0.930329397790484	590
15	300	0.02	0.7	1	1	1	0.931242695977439	543
15	500	0.01	0.5	0.75	1	0	0.932683933759096	1253
15	500	0.01	0.5	0.75	1	1	0.932954398994137	1207
15	500	0.01	0.5	0.9	1	0	0.932031030913292	1171
15	500	0.01	0.5	0.9	1	1	0.932356771504439	1175
15	500	0.01	0.5	1	1	0	0.932277326964403	1216
15	500	0.01	0.5	1	1	1	0.932970059605289	1184
15	500	0.01	0.7	0.75	1	0	0.93199462618576	1259
